# Reference long-term average spectrum for the "Classical" genre preset.
#
# Source: the Android Open Source Project's five-band equalizer preset table,
#   frameworks/av/media/libeffects/lvm/wrapper/Bundle/EffectBundle.h,
#   EQNB_5BandSoftPresets, entry "Classical" = [5, 3, -2, 4, 4] dB
#   at EQNB_5BandPresetsFrequencies = [60, 230, 910, 3600, 14000] Hz, Q = 0.96.
#   Retrieved 2026-09-21 from android.googlesource.com, branch main.
#   Scaling applied in step 1 below: x0.9846 (the raw shape's RMS was 2.03 dB).
#
# Derivation, in three steps, so that this file can be rebuilt by hand from the table cited above:
#
#   1. genre_eq_db: the published table's band gains interpolated onto the 29 third-octave
#      centres, linearly in dB against log frequency, held flat outside the outermost published
#      band. Then the mean over 40 Hz..16 kHz is subtracted, and the result is scaled so that its
#      RMS deviation over 40 Hz..16 kHz is exactly 2.00 dB.
#
#      That rescaling is the one liberty taken with the source, and the reason for it is this:
#      Winamp's sliders run to +-12 dB and Android's table to +-15, while this port's genre
#      presets are voiced at about +-3. Comparing at the sources' own magnitude would measure how
#      STRONGLY a preset voices rather than in WHICH DIRECTION, and direction is the only thing
#      these sources establish. 2.00 dB is a round number at the strength this product voices at;
#      it is identical for all five genres, so it cannot favour any one preset.
#
#   2. baseline_db: a long-term average spectrum for popular music with no genre applied. Pestana,
#      Ma, Reiss, Barbosa and Black (AES 135, paper 8960, ~800 number-one singles 1950-2010) report
#      "a consistent linear decay of about 5 dB per octave from 100 to 4000 Hz" -- the only number
#      from that literature that is public rather than behind the AES paywall. Here: 0 dB at and
#      below 100 Hz, -5 dB/octave above it. Both the hold below 100 Hz and the continuation of the
#      same slope above 4 kHz are ASSUMPTIONS, not findings; real material falls faster at both
#      ends. They are tolerable because the test that reads this file synthesises its material from
#      the very same baseline, so the baseline cancels out of every comparison except through the
#      engine's level-dependent stages -- which is precisely the part the test exists to exercise.
#
#   3. level_db = baseline_db + genre_eq_db, with the mean over 40 Hz..16 kHz subtracted again so
#      the column is a shape rather than a level. Nothing downstream uses absolute level.
#
# What this is NOT: a measured spectrum of real recordings. No per-genre LTAS exists as numbers
# anywhere -- Pestana/Reiss publish theirs only as plots behind a paywall, iZotope's and Har-Bal's
# are proprietary and embedded in their plugins, and the Million Song Dataset's timbre coefficients
# do not invert to a dB spectrum. What the table above records is a CONSENSUS TASTE CURVE: what
# a widely-deployed product decided a genre should be shaped like. That is weaker than measurement
# and it is what exists.
#
# Licence: the numbers reproduced here are the band gains of a published table, used as data.
# The Android Open Source Project is Apache-2.0. See README.md in this directory for the second
# published table (Winamp/XMMS 1997), which is used only as a cross-check and not by any file here.
#
# columns: center_hz -- third-octave centre in Hz
#          level_db  -- the reference shape; this is what the test compares against
#          baseline_db, genre_eq_db -- the decomposition above, so the file can be audited
center_hz,level_db,baseline_db,genre_eq_db
31.5,17.885,0.000,2.318
40,17.885,0.000,2.318
50,17.885,0.000,2.318
63,17.813,0.000,2.246
80,17.463,0.000,1.896
100,17.136,0.000,1.569
125,15.199,-1.610,1.242
160,13.057,-3.390,0.880
200,11.120,-5.000,0.553
250,9.007,-6.610,0.050
315,6.513,-8.277,-0.777
400,3.934,-10.000,-1.632
500,1.526,-11.610,-2.431
630,-0.968,-13.277,-3.258
800,-3.547,-15.000,-4.113
1000,-5.212,-16.610,-4.169
1250,-5.863,-18.219,-3.211
1600,-6.584,-20.000,-2.150
2000,-7.235,-21.610,-1.192
2500,-7.886,-23.219,-0.233
3150,-8.560,-24.886,0.760
4000,-9.710,-26.610,1.333
5000,-11.319,-28.219,1.333
6300,-12.986,-29.886,1.333
8000,-14.710,-31.610,1.333
10000,-16.319,-33.219,1.333
12500,-17.929,-34.829,1.333
16000,-19.710,-36.610,1.333
20000,-21.319,-38.219,1.333
