# Reference long-term average spectrum for the "Jazz" genre preset.
#
# Source: the Android Open Source Project's five-band equalizer preset table,
#   frameworks/av/media/libeffects/lvm/wrapper/Bundle/EffectBundle.h,
#   EQNB_5BandSoftPresets, entry "Jazz" = [4, 2, -2, 2, 5] dB
#   at EQNB_5BandPresetsFrequencies = [60, 230, 910, 3600, 14000] Hz, Q = 0.96.
#   Retrieved 2026-09-21 from android.googlesource.com, branch main.
#   Scaling applied in step 1 below: x1.0042 (the raw shape's RMS was 1.99 dB).
#
# Derivation, in three steps, so that this file can be rebuilt by hand from the table cited above:
#
#   1. genre_eq_db: the published table's band gains interpolated onto the 29 third-octave
#      centres, linearly in dB against log frequency, held flat outside the outermost published
#      band. Then the mean over 40 Hz..16 kHz is subtracted, and the result is scaled so that its
#      RMS deviation over 40 Hz..16 kHz is exactly 2.00 dB.
#
#      That rescaling is the one liberty taken with the source, and the reason for it is this:
#      Winamp's sliders run to +-12 dB and Android's table to +-15, while this port's genre
#      presets are voiced at about +-3. Comparing at the sources' own magnitude would measure how
#      STRONGLY a preset voices rather than in WHICH DIRECTION, and direction is the only thing
#      these sources establish. 2.00 dB is a round number at the strength this product voices at;
#      it is identical for all five genres, so it cannot favour any one preset.
#
#   2. baseline_db: a long-term average spectrum for popular music with no genre applied. Pestana,
#      Ma, Reiss, Barbosa and Black (AES 135, paper 8960, ~800 number-one singles 1950-2010) report
#      "a consistent linear decay of about 5 dB per octave from 100 to 4000 Hz" -- the only number
#      from that literature that is public rather than behind the AES paywall. Here: 0 dB at and
#      below 100 Hz, -5 dB/octave above it. Both the hold below 100 Hz and the continuation of the
#      same slope above 4 kHz are ASSUMPTIONS, not findings; real material falls faster at both
#      ends. They are tolerable because the test that reads this file synthesises its material from
#      the very same baseline, so the baseline cancels out of every comparison except through the
#      engine's level-dependent stages -- which is precisely the part the test exists to exercise.
#
#   3. level_db = baseline_db + genre_eq_db, with the mean over 40 Hz..16 kHz subtracted again so
#      the column is a shape rather than a level. Nothing downstream uses absolute level.
#
# What this is NOT: a measured spectrum of real recordings. No per-genre LTAS exists as numbers
# anywhere -- Pestana/Reiss publish theirs only as plots behind a paywall, iZotope's and Har-Bal's
# are proprietary and embedded in their plugins, and the Million Song Dataset's timbre coefficients
# do not invert to a dB spectrum. What the table above records is a CONSENSUS TASTE CURVE: what
# a widely-deployed product decided a genre should be shaped like. That is weaker than measurement
# and it is what exists.
#
# Licence: the numbers reproduced here are the band gains of a published table, used as data.
# The Android Open Source Project is Apache-2.0. See README.md in this directory for the second
# published table (Winamp/XMMS 1997), which is used only as a cross-check and not by any file here.
#
# columns: center_hz -- third-octave centre in Hz
#          level_db  -- the reference shape; this is what the test compares against
#          baseline_db, genre_eq_db -- the decomposition above, so the file can be audited
center_hz,level_db,baseline_db,genre_eq_db
31.5,17.632,0.000,2.066
40,17.632,0.000,2.066
50,17.632,0.000,2.066
63,17.560,0.000,1.993
80,17.202,0.000,1.636
100,16.869,0.000,1.302
125,14.926,-1.610,0.969
160,12.776,-3.390,0.600
200,10.833,-5.000,0.266
250,8.771,-6.610,-0.186
315,6.429,-8.277,-0.861
400,4.008,-10.000,-1.559
500,1.746,-11.610,-2.211
630,-0.596,-13.277,-2.886
800,-3.017,-15.000,-3.583
1000,-4.727,-16.610,-3.684
1250,-5.685,-18.219,-3.032
1600,-6.745,-20.000,-2.311
2000,-7.703,-21.610,-1.660
2500,-8.660,-23.219,-1.008
3150,-9.652,-24.886,-0.333
4000,-10.752,-26.610,0.291
5000,-11.867,-28.219,0.786
6300,-13.021,-29.886,1.299
8000,-14.214,-31.610,1.829
10000,-15.329,-33.219,2.324
12500,-16.444,-34.829,2.819
16000,-17.973,-36.610,3.070
20000,-19.583,-38.219,3.070
