# Reference long-term average spectrum for the "Metal" genre preset.
#
# Source: the Android Open Source Project's five-band equalizer preset table,
#   frameworks/av/media/libeffects/lvm/wrapper/Bundle/EffectBundle.h,
#   EQNB_5BandSoftPresets, entry "Heavy Metal" = [4, 1, 9, 3, 0] dB
#   at EQNB_5BandPresetsFrequencies = [60, 230, 910, 3600, 14000] Hz, Q = 0.96.
#   Retrieved 2026-09-21 from android.googlesource.com, branch main.
#   Scaling applied in step 1 below: x0.8470 (the raw shape's RMS was 2.36 dB).
#
# Derivation, in three steps, so that this file can be rebuilt by hand from the table cited above:
#
#   1. genre_eq_db: the published table's band gains interpolated onto the 29 third-octave
#      centres, linearly in dB against log frequency, held flat outside the outermost published
#      band. Then the mean over 40 Hz..16 kHz is subtracted, and the result is scaled so that its
#      RMS deviation over 40 Hz..16 kHz is exactly 2.00 dB.
#
#      That rescaling is the one liberty taken with the source, and the reason for it is this:
#      Winamp's sliders run to +-12 dB and Android's table to +-15, while this port's genre
#      presets are voiced at about +-3. Comparing at the sources' own magnitude would measure how
#      STRONGLY a preset voices rather than in WHICH DIRECTION, and direction is the only thing
#      these sources establish. 2.00 dB is a round number at the strength this product voices at;
#      it is identical for all five genres, so it cannot favour any one preset.
#
#   2. baseline_db: a long-term average spectrum for popular music with no genre applied. Pestana,
#      Ma, Reiss, Barbosa and Black (AES 135, paper 8960, ~800 number-one singles 1950-2010) report
#      "a consistent linear decay of about 5 dB per octave from 100 to 4000 Hz" -- the only number
#      from that literature that is public rather than behind the AES paywall. Here: 0 dB at and
#      below 100 Hz, -5 dB/octave above it. Both the hold below 100 Hz and the continuation of the
#      same slope above 4 kHz are ASSUMPTIONS, not findings; real material falls faster at both
#      ends. They are tolerable because the test that reads this file synthesises its material from
#      the very same baseline, so the baseline cancels out of every comparison except through the
#      engine's level-dependent stages -- which is precisely the part the test exists to exercise.
#
#   3. level_db = baseline_db + genre_eq_db, with the mean over 40 Hz..16 kHz subtracted again so
#      the column is a shape rather than a level. Nothing downstream uses absolute level.
#
# What this is NOT: a measured spectrum of real recordings. No per-genre LTAS exists as numbers
# anywhere -- Pestana/Reiss publish theirs only as plots behind a paywall, iZotope's and Har-Bal's
# are proprietary and embedded in their plugins, and the Million Song Dataset's timbre coefficients
# do not invert to a dB spectrum. What the table above records is a CONSENSUS TASTE CURVE: what
# a widely-deployed product decided a genre should be shaped like. That is weaker than measurement
# and it is what exists.
#
# Licence: the numbers reproduced here are the band gains of a published table, used as data.
# The Android Open Source Project is Apache-2.0. See README.md in this directory for the second
# published table (Winamp/XMMS 1997), which is used only as a cross-check and not by any file here.
#
# columns: center_hz -- third-octave centre in Hz
#          level_db  -- the reference shape; this is what the test compares against
#          baseline_db, genre_eq_db -- the decomposition above, so the file can be audited
center_hz,level_db,baseline_db,genre_eq_db
31.5,15.872,0.000,0.305
40,15.872,0.000,0.305
50,15.872,0.000,0.305
63,15.780,0.000,0.213
80,15.328,0.000,-0.239
100,14.906,0.000,-0.661
125,12.874,-1.610,-1.083
160,10.627,-3.390,-1.549
200,8.595,-5.000,-1.971
250,7.132,-6.610,-1.825
315,6.604,-8.277,-0.686
400,6.057,-10.000,0.491
500,5.547,-11.610,1.590
630,5.018,-13.277,2.728
800,4.472,-15.000,3.905
1000,3.149,-16.610,4.192
1250,0.714,-18.219,3.367
1600,-1.979,-20.000,2.455
2000,-4.413,-21.610,1.630
2500,-6.847,-23.219,0.806
3150,-9.368,-24.886,-0.048
4000,-11.782,-26.610,-0.739
5000,-13.809,-28.219,-1.156
6300,-15.908,-29.886,-1.589
8000,-18.079,-31.610,-2.036
10000,-20.106,-33.219,-2.453
12500,-22.133,-34.829,-2.871
16000,-24.126,-36.610,-3.083
20000,-25.735,-38.219,-3.083
